80003A4C	ov_pad_read
8001CBA8	ov_8001CBA8
8001CE90	ov_cd_cmd_stream
8001CF2C	ov_voice_stop
8001D2A8	ov_voice_play
8001D940	ov_cd_async_read
8001DB8C	ov_cd_loadfile
8001DC40	ov_cd_loadfile
80026C88	ov_disp_26c88
80027768	ov_submit_poly_gt4_bp
8002AB5C	ov_terrain
8002B278	ov_cone_cull_2b278
8003116C	ov_spawn_and_init
80031780	ov_list_scan_31780
8003B220	ov_hitbox_3b220
8003B320	ov_subcnt_b320
8003B588	ov_rwalk_b588
8003BB50	ov_render_walk_snapshot
8003BB50	ov_rwalk_bb50
8003BCF4	ov_rwalk_aux_bcf4
8003BCF4	ov_rwalk_bcf4
8003BF00	ov_rwalk_aux_bf00
8003BF00	ov_rwalk_bf00
8003C048	ov_render_walk
8003C048	ov_rlist_probe
8003C048	ov_rwalk_c048
8003C8F4	ov_collectable_quad
8003C8F4	ov_subcnt_c8f4
8003CCA4	ov_ccase_probe
8003CCA4	ov_perobj_render
8003CDD8	ov_flush2_probe
8003CDD8	ov_perobj_flush
8003EEC0	ov_rwalk_aux_eec0
8003EEC0	ov_rwalk_eec0
8003F174	ov_flush_probe
8003F698	ov_render_cmd
8003FD10	ov_osc_fd10
80040410	ov_child_spawn_40410
80040558	ov_sm40558
80044D8C	ov_lz_decompress
80044E84	ov_unpack_group
80044F58	ov_load_texgroup
80045080	ov_80045080
800450BC	ov_load_stage
8004798C	ov_grid_step_4798c
80047CBC	ov_grid_query_47cbc
80048360	ov_grid_offset_48360
800498C8	ov_grid_resolve_498c8
80049968	ov_grid_setup_49968
800499E8	ov_task0_boot
8004BD64	ov_obj_pos_compose
8004CE14	ov_script_vm_4ce14
8004D338	ov_inventory_add
8004D4C4	ov_inventory_give_and_flag
8004D4F4	ov_inventory_give
8004D7EC	ov_bittest_4d7ec
8004FB20	ov_8004FB20
80050738	ov_80050738
8005082C	ov_8005082C
800508A8	ov_800508A8
80050b08	ov_game_main
80051128	ov_xform51128
80051464	ov_xform_propagate
80051794	ov_80051794
800517F8	ov_obj_render_update
80051B04	ov_cmdenq_probe
80051B70	ov_obj_record_init
80051C8C	ov_build_xform
80051F80	ov_80051F80
80052078	ov_stage_transition
80056B48	ov_player_move
800597AC	ov_orch597AC
8006CBD0	ov_8006CBD0
8006CBD0	ov_obj_set_xformblk
8006D934	ov_8006D934
8006D950	ov_8006D950
8006d960	ov_cam_track_xz
8006da54	ov_cam_track_y
80072A78	ov_place_objects
80072DDC	ov_spawn_with_parent
80075130	ov_font_init
800752B4	ov_800752B4
800752b4	ov_font_glyphclass_fill
800753AC	ov_800753AC
800753D4	ov_cel_load_wait
80075E04	ov_80075E04
80076D68	ov_anim_vm_76d68
8007712C	ov_object_cull
8007778C	ov_cull_wrapper
80077ACC	ov_cull_wrap_77acc
80077B38	ov_obj_set_geom
80077EBC	ov_enqueue_probe
80077FB0	ov_80077FB0
800782F0	ov_800782F0
800788AC	ov_frame_update
80079528	ov_80079528
800796DC	ov_800796DC
8007982C	ov_8007982C
800798F8	ov_800798F8
80079C3C	ov_entity_spawn
80079DDC	ov_spawn_pool2
80079F90	ov_spawn_var2
8007A12C	ov_8007A12C
8007A12C	ov_spawn_var3
8007A2C8	ov_spawn_var4
8007A624	ov_despawn
8007A810	ov_8007A810
8007A8E0	ov_8007A8E0
8007A904	ov_entity_walk_7a904
8007A980	ov_spawn_dispatch
8007AA38	ov_replace_dispatch
8007AAE8	ov_record_alloc_g
8007AC14	ov_8007AC14
8007AC40	ov_8007AC40
8007AC6C	ov_8007AC6C
8007AC98	ov_8007AC98
8007ACC4	ov_8007ACC4
8007AD14	ov_8007AD14
8007AD40	ov_8007AD40
8007B18C	ov_8007B18C
8007B2C0	ov_8007B2C0
8007B328	ov_8007B328
8007B38C	ov_8007B38C
8007B45C	ov_options_menu
8007e1b8	ov_ui_rect_emit
8007E9C8	ov_8007E9C8
8007FDB0	ov_submit_poly_gt3
8008007C	ov_submit_poly_gt4
80080860	ov_open_thread
80080870	ov_close_thread
80080880	ov_change_thread
80080880	ov_switch
80080890	ov_80080890
800808B0	ov_file_open
800808C0	ov_file_lseek
800808D0	ov_file_read
800808E0	ov_file_write
800808F0	ov_file_close
80080900	ov_file_firstfile
80080910	ov_file_erase
80081218	ov_upload_image
80081560	ov_draw_otag
80082220	ov_80082220
80082240	ov_80082240
800822D8	ov_800822D8
80082370	ov_80082370
80082C68	ov_80082C68
800834A0	ov_800834A0
80083AF8	ov_80083AF8
80083B30	ov_80083B30
80083BF0	ov_80083BF0
80083DE0	ov_80083DE0
80083E80	ov_trig_sin
80083EBC	ov_trig_lut
80083F50	ov_trig_cos
80084250	ov_80084250
80084470	ov_80084470
800846D0	ov_set_geom_offset
800846F0	ov_set_geom_screen
800847B0	ov_800847B0
80085690	ov_80085690
80085900	ov_vsync
80085BB0	ov_vsync_callback
800861BC	zfill_words
80086320	zfill_words
800865C8	zfill_words
800865F0	ov_800865F0
80086604	ov_80086604
80089788	ov_80089788
80089A30	native_ov
80089A30	wrap_ov
80089B98	ov_80089B98
80089BAC	ov_80089BAC
80089E1C	ov_80089E1C
80089F68	ov_80089F68
8008A00C	ov_8008A00C
8008A110	ov_8008A110
8008A6EC	ov_cd_sync
8008A96C	ov_cdreadsync
8008AC34	ov_cd_command
8008B040	ov_8008B040
8008B19C	ov_8008B19C
8008B2D8	ov_cdinit
8008B4B8	ov_cddatasync
8008BBC8	ov_8008BBC8
8008BBE8	cdlibcd_new_media
8008BF50	cdlibcd_cache_file
8008BEAC	ov_8008BEAC
8008C1EC	ov_cd_read
8008CCE0	ov_8008CCE0
8008CFF0	ov_8008CFF0
80090160	ov_80090160
80090A60	ov_80090A60
80091B50	ov_80091B50
80092FD0	ov_80092FD0
800931C0	ov_input_dispatch_931c0
8009440C	ov_8009440C
80094474	ov_80094474
80094B50	ov_80094B50
80094C10	ov_80094C10
800962B0	ov_800962B0
80096370	ov_80096370
80096370	ov_font_bank2_store
80096390	ov_80096390
800963A0	ov_800963A0
800963a0	ov_font_bank_select
80096590	ov_bav_load
800974FC	ov_800974FC
80097540	ov_80097540
80097678	ov_80097678
800976C8	ov_800976C8
80097760	ov_80097760
800977C0	ov_800977C0
80097A90	ov_80097A90
80097E10	ov_80097E10
80097E40	ov_80097E40
80098150	ov_80098150
800982A0	ov_800982A0
80098810	ov_80098810
80098CE0	ov_80098CE0
80098D30	ov_80098D30
80098DB0	ov_80098DB0
80098F90	ov_80098F90
80099370	ov_80099370
80099450	ov_80099450
80099478	ov_80099478
800998E4	ov_800998E4
